Key,SourceString
"IncreasedRetaliationRange","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de portée de <me_Retaliate>Représailles</> supplémentaire"
"IncreasedDeviceSkillSpeed","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de vitesse de compétence de <me_Device>Dispositif</> supplémentaire"
"IncreasedSkillSpeed","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de vitesse de compétence supplémentaire"
"IncreasedBulwarkEffect","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> d'efficacité de <me_Bulwark>Rempart</> supplémentaire"
"AddMaximumBulwark","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> au maximum de <me_Bulwark>Rempart</>"
"AddMinimumBulwark","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> au minimum de <me_Bulwark>Rempart</>"
"IncreasedRageEffect","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> d'efficacité de <me_Rage>Rage</> supplémentaire"
"AddMaximumRage","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> au maximum de <me_Rage>Rage</>"
"AddMinimumRage","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)</> au minimum de <me_Rage>Rage</>"
"AddPierceRetaliation","<b>{Value}|fmt(min_frac=0,max_frac=0,sign=true)</> de <me_Retaliate>Représailles</> de <me_PierceDam>perforation</>"
"AddFireRetaliation","<b>{Value}|fmt(min_frac=0,max_frac=0,sign=true)</> de <me_Retaliate>Représailles</> de <me_FireDam>feu</>"
"AddFireResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> au <me_FireDam>feu</>"
"AddColdResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> au <me_ColdDam>froid</>"
"AddLightningResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> à la <me_LightningDam>foudre</>"
"AddMaximumFireResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> maximum au <me_FireDam>feu</>"
"AddMaximumColdResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> maximum au <me_ColdDam>froid</>"
"AddMaximumLightningResistance","<b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> maximum à la <me_LightningDam>foudre</>"
"SummonAddFireResistance","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> au <me_FireDam>feu</>"
"SummonAddColdResistance","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> au <me_ColdDam>froid</>"
"SummonAddLightningResistance","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1,sign=true)%</> de <me_Resistance>Résistance</> à la <me_LightningDam>foudre</>"
"IncreasedOverloadSkillDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts supplémentaires avec les compétences de <me_Overload>Surcharge</>"
"IncreasedInfusionSkillDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts supplémentaires avec les compétences d'<me_ElementalInfusion>Infusion</>"
"SummonIncreasedAllSpeed","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> de vitesse globale supplémentaire"
