Key,SourceString
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(1).m_Objectives.Description","Ranimer les sources d'eau du lac"
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(4).m_Objectives.Description","Aider à ranimer la source d'eau sud"
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(5).m_Objectives.Description","Aider à ranimer la source d'eau nord"
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(6).m_Objectives.Description","Suivre Pegaea"
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(7).m_Objectives.Description","Parler à Pegaea"
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(8).m_Objectives.Description","Vaincre l'hippocampe sauvage"
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(9).m_Objectives.Description","Parler à Pegaea"
"da_quest_03_ap_s_qu_quarry.m_Title","Tombeau du Wanax"
"da_quest_03_ap_s_qu_quarry.m_HighVisionGoal","Chercher les éclaireurs rebelles de Galen dans la carrière de pierre."
"da_quest_03_ap_s_qu_quarry.m_CompletedGoal","J'ai trouvé Theron, le chef des éclaireurs de Galen, dans un tombeau antique de la carrière."
"da_quest_03_ap_s_qu_quarry.m_Summary","Galen, un espion rebelle, m'a demandé de chercher ses éclaireurs disparus dans la carrière contrôlée par les Marqués."
"da_quest_03_ap_s_qu_quarry.m_CompletedSummary","Après avoir trouvé les éclaireurs dans la carrière, j'ai mis fin à la menace squelettique causée par Flint-Kicker."
"da_quest_03_ap_s_qu_quarry.m_Objectives(0).m_Objectives.Description","Explorer la carrière"
"da_quest_03_ap_s_qu_quarry.m_Objectives(1).m_Objectives.Description","Trouver le tunnel"
"da_quest_03_ap_s_qu_quarry.m_Objectives(2).m_Objectives.Description","Entrer dans le tunnel"
"da_quest_03_ap_s_qu_quarry.m_Objectives(3).m_Objectives.Description","Explorer le tombeau"
"da_quest_03_ap_s_qu_quarry.m_Objectives(4).m_Objectives.Description","S'enfoncer dans le tombeau"
"da_quest_03_ap_s_qu_quarry.m_Objectives(5).m_Objectives.Description","Découvrir ce qui se passe dans le tombeau"
"da_quest_03_ap_s_qu_quarry.m_Objectives(6).m_Objectives.Description","Vaincre Flint-Kicker"
"da_quest_03_ap_s_qu_quarry.m_Objectives(7).m_Objectives.Description","Absorber l'ichor de Titan"
"da_quest_03_ap_s_sk_skylla.m_Title","La gloire du vainqueur"
"da_quest_03_ap_s_sk_skylla.m_HighVisionGoal","Parler à Skylla"
"da_quest_03_ap_s_sk_skylla.m_CompletedGoal","Discuté avec Skylla"
"da_quest_03_ap_s_sk_skylla.m_Summary","J'ai vaincu le champion centaure Skirion, obtenant la liberté pour Tégée et une audience avec Centaurus. Je devrais annoncer ma victoire à Skylla."
"da_quest_03_ap_s_sk_skylla.m_CompletedSummary","Après avoir remporté le Concours de Champions, j'ai parlé de ma victoire à Skylla, Kyra et à l'Archonte Épicratès."
"da_quest_03_ap_s_sk_skylla.m_Objectives(0).m_Objectives.Description","Retourner voir Skylla à Tégée"
"da_quest_03_ap_s_ms_missing_shield.m_Title","Protéger la cité"
"da_quest_03_ap_s_ms_missing_shield.m_HighVisionGoal","Je devrais rapporter le bouclier manquant à la statue d'Athéna de Tégée"
"da_quest_03_ap_s_ms_missing_shield.m_CompletedGoal","J'ai rapporté le bouclier manquant à la statue d'Athéna de Tégée"
"da_quest_03_ap_s_ms_missing_shield.m_Summary","Apparemment, le bouclier de la statue du temple d'Athéna à Tégée a été volé."
"da_quest_03_ap_s_ms_missing_shield.m_CompletedSummary","J'ai restauré la statue d'Athéna de la ville après avoir retrouvé le bouclier volé dans le camp de guerre des Marqués."
"da_quest_03_ap_s_ms_missing_shield.m_Objectives(0).m_Objectives.Description","Trouver le bouclier manquant"
"da_quest_03_ap_s_ms_missing_shield.m_Objectives(1).m_Objectives.Description","Rapporter le bouclier au temple d'Athéna"
"da_quest_03_ap_s_ms_missing_shield.m_Objectives(2).m_Objectives.Description","Faire vos preuves auprès du voleur en battant Skirion"
"da_quest_03_ap_s_br_burial_rites.m_HighVisionGoal","Offrir le repos aux défenseurs spartiates défunts."
"da_quest_03_ap_s_br_burial_rites.m_CompletedGoal","J'ai brûlé de l'encens, offrant le repos aux défenseurs spartiates défunts."
"da_quest_03_ap_s_br_burial_rites.m_Summary","Un prêtre est mort en tentant d'administrer les rites funéraires appropriés aux défenseurs spartiates qui errent désormais sans repos."
"da_quest_03_ap_s_br_burial_rites.m_CompletedSummary","Après avoir récupéré l'encens sur le prêtre défunt, j'ai pu le brûler près des Spartiates, leur offrant enfin le repos."
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(5).m_Objectives.Description","Grimper à l'échelle pour entrer dans Tégée"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(12).m_Objectives.Description","Quitter Tégée par la porte nord"
