Key,SourceString
"NimbleDefense_1Description","<b_gold>Level {CurrentLevel}:</>\r\n<b>{MovementCDCurrent}|floor()%</> increased Movement Skill Cooldown Rate\r\n<b>+{GlancingCurrent}|floor()%</> <me_Glancing>Glancing</> Hit Chance.\r\n<b_gold>Level {NextLevel}:</>\r\n<b>{MovementCDNext}|floor()%</> increased Movement Skill Cooldown Rate\r\n<b>+{GlancingNext}|floor()%</> <me_Glancing>Glancing</> Hit Chance."
"NimbleDefense_Feat_GlancingProjectile_0Name","Glancing Projectile"
"NimbleDefense_Feat_GlancingProjectile_1Description","<b>+{GlancingProjChance}%</> <me_Glancing>Glancing</> Projectile Hit Chance\n<b>-{GlancingBlowChance}%</> <me_Glancing>Glancing</> Melee Hit Chance"
"NimbleDefense_Feat_GlancingBlow_0Name","Glancing Blow"
"NimbleDefense_Feat_GlancingBlow_1Description","<b>+{GlancingBlowChance}%</> <me_Glancing>Glancing</> Melee Hit Chance\n<b>-{GlancingProjChance}%</> <me_Glancing>Glancing</> Projectile Hit Chance"
"NimbleDefense_Feat_MovementCD_0Name","Movement Skill Cooldown Rate"
"NimbleDefense_Feat_MovementCD_1Description","<b>{MovementCD}%</> increased Movement Skill Cooldown Rate"
"TasteForBlood_0Name","Taste For Blood"
"TasteForBlood_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{VitalityDmgCurrent}|floor()%</> increased <me_VitalityDam>Vitality Damage</>\n<b>{LifestealCurrent}|floor()%</> increased <me_Lifesteal>Lifesteal</>\n<b_gold>Level {NextLevel}:</>\n<b>{VitalityDmgNext}|floor()%</> increased <me_VitalityDam>Vitality Damage</>\n<b>{LifestealNext}|floor()%</> increased <me_Lifesteal>Lifesteal</>"
"TasteForBlood_Feat_VitalityDmg_0Name","Vitality Damage"
"TasteForBlood_Feat_VitalityDmg_1Description","<b>{VitalityDmg}%</> increased <me_VitalityDam>Vitality Damage</>\r\n<b>+{VitalityPen}%</> <me_VitalityDam>Vitality</> <me_Penetration_Damage>Penetration</>"
"TasteForBlood_Feat_LifestealDmg_0Name","Lifesteal"
"TasteForBlood_Feat_LifestealDmg_1Description","<b>+{BaseLifesteal}%</> added Base <me_Lifesteal>Lifesteal</> with <me_VitalityDam>Vitality Damage</>\n<b>{Lifesteal}%</> increased <me_Lifesteal>Lifesteal</>"
"TasteForBlood_Feat_ShadowSpell_0Name","Shadow Spell"
"TasteForBlood_Feat_ShadowSpell_1Description","Converts <b>100%</> Damage of your Shadow Spells to <me_VitalityDam>Vitality Damage</>\n<b>{VitalityDmg}%</> increased <me_VitalityDam>Vitality Damage</>\n<b>{Lifesteal}%</> increased <me_Lifesteal>Lifesteal</>"
"VolatileConcoction_0Name","Volatile Concoction"
"VolatileConcoction_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{FireDmgCurrent}|floor()%</> increased <me_FireDam>Fire Damage</>\n<b>{BurnChanceCurrent}|floor()%</> increased <me_Burn>Burn</> Chance\n<b_gold>Level {NextLevel}:</>\n<b>{FireDmgNext}|floor()%</> increased <me_FireDam>Fire Damage</>\n<b>{BurnChanceNext}|floor()%</> increased <me_Burn>Burn</> Chance"
"VolatileConcoction_Feat_FireDmg_0Name","Fire Damage"
"VolatileConcoction_Feat_FireDmg_1Description","<b>{FireDmg}%</> increased <me_FireDam>Fire Damage</>\r\n<b>+{FirePen}%</> <me_FireDam>Fire</> <me_Penetration_Damage>Penetration</>"
"VolatileConcoction_Feat_BurnChance_0Name","Burn Chance"
"VolatileConcoction_Feat_BurnChance_1Description","<b>{BurnChance}%</> increased <me_Burn>Burn</> Chance\n<b>{BurnPower}%</> increased <me_Burn>Burn</> <me_AilmentPower>Power</>"
"VolatileConcoction_Feat_ShadowSpell_0Name","Shadow Spell"
"VolatileConcoction_Feat_ShadowSpell_1Description","Converts <b>100%</> Damage of your Shadow Spells to <me_FireDam>Fire Damage</>\n<b>{FireDmg}%</> increased <me_FireDam>Fire Damage</>\n<b>{BurnChance}%</> increased <me_Burn>Burn</> Chance"
"ShadowArts_0Name","Shadow Arts"
"ShadowArts_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{SpellDmgCurrent}|floor()%</> increased Spell Damage\n<b_gold>Level {NextLevel}:</>\n<b>{SpellDmgNext}|floor()%</> increased Spell Damage"
"ShadowArts_Feat_CastSpeed_0Name","Cast Speed"
"ShadowArts_Feat_CastSpeed_1Description","<b>{CastSpeed}%</> increased Cast Speed"
"ShadowArts_Feat_SpellCrit_0Name","Critical Hit Chance"
"ShadowArts_Feat_SpellCrit_1Description","<b>{CritChance}%</> increased Spell <me_Critical>Critical Hit</> Chance"
"ShadowArts_Feat_SpellAilment_0Name","Ailment Chance"
"ShadowArts_Feat_SpellAilment_1Description","<b>{AilmentChance}%</> increased Spell <me_AilmentChance>Ailment Chance</>"
"SleightOfHand_0Name","Sleight Of Hand"
"SleightOfHand_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{WeaponDmgCurrent}|floor()%</> increased Damage with Weapon Attacks\n<b_gold>Level {NextLevel}:</>\n<b>{WeaponDmgNext}|floor()%</> increased Damage with Weapon Attacks"
"SleightOfHand_Feat_AttackSpeed_0Name","Attack Speed"
"SleightOfHand_Feat_AttackSpeed_1Description","<b>{AttackSpeed}%</> increased Attack Speed"
"SleightOfHand_Feat_WeaponCrit_0Name","Critical Hit Chance"
"SleightOfHand_Feat_WeaponCrit_1Description","<b>{CritChance}%</> increased <me_Critical>Critical Hit</> Chance with Weapon Attacks"
"SleightOfHand_Feat_WeaponAilment_0Name","Ailment Chance"
"SleightOfHand_Feat_WeaponAilment_1Description","<b>{AilmentChance}%</> increased <me_AilmentChance>Ailment Chance</> with Weapon Attacks"
"DismantlingTactics_0Name","Dismantling Tactics"
"DismantlingTactics_1Description","<b_gold>Level {CurrentLevel}:</>\nDeal <b>{DmgModCurrent}%</> increased Damage to your <me_Mark>Mark</>\nWhen you kill an enemy, deal <b>{VitDmgCurrent}|round()</> <me_VitalityDam>Vitality Damage</> to your <me_Mark>Mark</>\n\n<b_gold>Level {NextLevel}:</>\nDeal <b>{DmgModNext}%</> increased Damage to your <me_Mark>Mark</>\nWhen you kill an enemy, deal <b>{VitDmgNext}|round()</> <me_VitalityDam>Vitality Damage</> to your <me_Mark>Mark</>"
"DismantlingTactics_Feat_MarkResistance_0Name","Mark Resistance"
"DismantlingTactics_Feat_MarkResistance_1Description","Your <me_Mark>Mark</> has <b>-{ResMod}%</> Resistances"
"DismantlingTactics_Feat_MarkCrit_0Name","Critical Hit Chance"
"DismantlingTactics_Feat_MarkCrit_1Description","You have <b>{CritChance}%</> increased <me_Critical>Critical Hit</> Chance against your <me_Mark>Mark</>"
"DismantlingTactics_Feat_MarkLifestel_0Name","Lifesteal"
"DismantlingTactics_Feat_MarkLifesteal_1Description","You have <b>{Lifesteal}%</> increased <me_Lifesteal>Lifesteal</> against your <me_Mark>Mark</>"
"SurgicalPrecision_0Name","Surgical Precision"
"SurgicalPrecision_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{CritChanceCurrent}%</> increased <me_Critical>Critical Hit</> Chance\n<b>+{CritDmgCurrent}%</> <me_Critical>Critical Hit</> <me_CritDamMult>Damage Multiplier</>\n\n<b_gold>Level {NextLevel}:</>\n<b>{CritChanceNext}%</> increased <me_Critical>Critical Hit</> Chance\n<b>+{CritDmgNext}%</> <me_Critical>Critical Hit</> <me_CritDamMult>Damage Multiplier</>"
"SurgicalPrecision_Feat_CritChance_0Name","Critical Hit Chance"
"SurgicalPrecision_Feat_CritChance_1Description","<b>{CritChance}%</> increased <me_Critical>Critical Hit</> Chance"
"SurgicalPrecision_Feat_CritDamage_0Name","Critical Hit Damage"
"SurgicalPrecision_Feat_CritDamage_1Description","<b>+{CritDmg}%</> <me_Critical>Critical Hit</> <me_CritDamMult>Damage Multiplier</>"
"SurgicalPrecision_Feat_SpecialCrit_0Name","High Critical Strike Damage"
"SurgicalPrecision_Feat_SpecialCrit_1Description","<b>+{CritDmg}%</> <me_Critical>Critical Hit</> <me_CritDamMult>Damage Multiplier</>\n<b>{CritChance}%</> reduced <me_Critical>Critical Hit</> Chance"
"OpenWound_0Name","Open Wound"
"OpenWound_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{RuptureChanceCurrent}%</> increased <me_Rupture>Rupture</> Chance\n<b>{RuptureDmgCurrent}%</> increased <me_Rupture>Rupture</> Damage\n\n<b_gold>Level {NextLevel}:</>\n<b>{RuptureChanceNext}%</> increased <me_Rupture>Rupture</> Chance\n<b>{RuptureDmgNext}%</> increased <me_Rupture>Rupture</> Damage"
"OpenWound_Feat_RuptureMarkDmg_0Name","Rupture Mark Damage"
"OpenWound_Feat_RuptureMarkDmg_1Description","<b>+{TrueDmg}|round()</> <me_Rupture>Rupture</> <me_TrueDam>True Damage</>\nThis bonus is doubled against your <me_Mark>mark</>"
"OpenWound_Feat_RuptureDamage_0Name","Rupture Damage"
"OpenWound_Feat_RuptureDamage_1Description","<b>{RuptureDmg}%</> increased <me_Rupture>Rupture</> Damage"
"OpenWound_Feat_RuptureChance_0Name","Rupture Chance"
"OpenWound_Feat_RuptureChance_1Description","<b>{RuptureChance}%</> increased <me_Rupture>Rupture</> Chance"
"ArtOfDeath_0Name","Art of Death"
"ArtOfDeath_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DoomDmgCurrent}%</> increased <me_Doom>Doom</> Damage\n\n<b_gold>Level {NextLevel}:</>\n<b>{DoomDmgNext}%</> increased <me_Doom>Doom</> Damage"
"ArtOfDeath_Feat_DoomAmount_0Name","Doom Amount"
"ArtOfDeath_Feat_DoomAmount_1Description","<b>+{DoomAmount}</> Maximum <me_Doom>Doom</>"
"ArtOfDeath_Feat_DoomLifesteal_0Name","Doom Lifesteal"
"ArtOfDeath_Feat_DoomLifesteal_1Description","<b>+{Lifesteal}%</> added Base <me_Lifesteal>Lifesteal</> with <me_Doom>Doom</>"
"ArtOfDeath_Feat_DoomToPoison_0Name","Doom Conversion"
"ArtOfDeath_Feat_DoomToPoison_1Description","<me_Doom>Doom</> is converted to <me_PoisonDam>Poison Damage</>\n<b>+{AilmentChance}%</> Base <me_AilmentChance>Ailment Chance</> with <me_Doom>Doom</> per stack"
"Torment_0Name","Torment"
"Torment_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DoTDmgCurrent}%</> increased <me_DoT>Damage over Time</>\n<b>{AilmentChanceCurrent}%</> increased <me_AilmentChance>Ailment Chance</>\n\n<b_gold>Level {NextLevel}:</>\n<b>{DoTDmgNext}%</> increased <me_DoT>Damage over Time</>\n<b>{AilmentChanceNext}%</> increased <me_AilmentChance>Ailment Chance</>"
"Torment_Feat_DoTDmg_0Name","Damage over Time"
"Torment_Feat_DoTDmg_1Description","<b>{DoTDmg}%</> increased <me_DoT>Damage over Time</> with active Skills"
"Torment_Feat_AilmentAmount_0Name","Ailment Amount"
"Torment_Feat_AilmentAmount_1Description","<b>+{AilmentAmount}</> Maximum <me_Ailment>Ailment</> stacks for all types"
"Torment_Feat_AilmentChance_0Name","Ailment Chance"
"Torment_Feat_AilmentChance_1Description","<b>{AilmentChance}%</> increased <me_AilmentChance>Ailment Chance</>"
"EvasiveManeuvers_0Name","Evasive Maneuvers"
"EvasiveManeuvers_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>+{GlancingHitChanceCurrent}%</> <me_Glancing>Glancing</> Hit Chance\nWhen you take a <me_Glancing>Glancing</> Hit, gain <b>{Barrier}</> Barrier, not more than once every <b>{BarrierCDCurrent}|fmt(min_frac=0,max_frac=1)s</>\n\n<b_gold>Level {NextLevel}:</>\n<b>+{GlancingHitChanceNext}%</> <me_Glancing>Glancing</> Hit Chance\nWhen you take a <me_Glancing>Glancing</> Hit, gain <b>{Barrier}</> Barrier, not more than once every <b>{BarrierCDNext}|fmt(min_frac=0,max_frac=1)s</>"
"EvasiveManeuvers_Feat_GlancingDamage_0Name","Glancing Hits Damage Reduction"
"EvasiveManeuvers_Feat_GlancingDamage_1Description","<b>+{GlancingDmg}%</> <me_Glancing>Glancing</> Hits Damage Reduction\n<b>-{GlancingChance}%</> <me_Glancing>Glancing</> Hits Chance"
"EvasiveManeuvers_Feat_GlancingHeal_0Name","Heal on Glancing Hits"
"EvasiveManeuvers_Feat_GlancingHeal_1Description","When you take a <me_Glancing>Glancing</> Hit, heal for <b>{Heal}%</> of the reduced damage."
"EvasiveManeuvers_Feat_GlancingSpecial_0Name","Movement Skill"
"EvasiveManeuvers_Feat_GlancingSpecial_1Description","After using a Movement Skill, gain <b>+{DmgReduction}%</> <me_Glancing>Glancing</> Hit Damage Reduction.\nDecays by <b>{DecayRate}%</> every second."
"RemoteTactics_0Name","Remote Tactics"
"RemoteTactics_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[SummonIncreasedDamage]}\n{DescriptionComponent[SummonAddCritChance]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[SummonIncreasedDamage2]}\n{DescriptionComponent[SummonAddCritChance2]}"
"RemoteTactics_Feat_Damage_0Name","Summon Damage"
"RemoteTactics_Feat_Damage_1Description","{DescriptionComponent[SummonIncreasedDamage]}"
"RemoteTactics_Feat_CritChance_0Name","Summon Critical Hit"
"RemoteTactics_Feat_CritChance_1Description","{DescriptionComponent[SummonAddCritChance]}"
"RemoteTactics_Feat_DeviceActivations_0Name","Device Activations"
"RemoteTactics_Feat_DeviceActivations_1Description","{DescriptionComponent[DeviceIncreasedActivations]}"
