Key,SourceString
"rel_circe_name_03","Incarnation de la Baguette de Circé"
"rel_circe_flavortext","Circé, fille d'Hélios, est une puissante enchanteresse qui transforme ses ennemis grâce à ses potions, ses herbes et sa baguette magique."
"rel_polyphemus_name_01","Essence de la Massue de Polyphème"
"rel_polyphemus_name_02","Émanation de la Massue de Polyphème"
"rel_polyphemus_name_03","Incarnation de la Massue de Polyphème"
"rel_polyphemus_flavortext","Polyphème est le cyclope géant, fils de Poséidon, redouté pour sa force immense. Sa massue est son arme et son symbole, capable d'écraser tout sur son passage."
"rel_theseus_name_01","Essence du Courage de Thésée"
"rel_theseus_name_02","Émanation du Courage de Thésée"
"rel_theseus_name_03","Incarnation du Courage de Thésée"
"rel_theseus_flavortext","Thésée, vainqueur du Minotaure, incarne un courage qui inspire les mortels comme les dieux."
"rel_odysseus_name_01","Essence de la Ruse d'Ulysse"
"rel_odysseus_name_02","Émanation de la Ruse d'Ulysse"
"rel_odysseus_name_03","Incarnation de la Ruse d'Ulysse"
"rel_odysseus_flavortext","Bien qu'il ne fût ni aussi fort ni aussi rapide que d'autres héros de légende, la ruse redoutable d'Ulysse faisait de lui l'égal de n'importe quel adversaire."
"rel_demeter_name_01","Essence de la Dualité de Déméter"
"rel_demeter_name_02","Émanation de la Dualité de Déméter"
"rel_demeter_name_03","Incarnation de la Dualité de Déméter"
"rel_demeter_flavortext","Déméter, déesse de la croissance et de la fertilité, plonge le monde dans l'hiver lorsqu'elle est en deuil. Sa dualité reflète l'abondance nourricière et le chagrin qu'elle endure."
"rel_eos_name_01","Essence du Désir d'Éos"
"rel_eos_name_02","Émanation du Désir d'Éos"
"rel_eos_name_03","Incarnation du Désir d'Éos"
"rel_eos_flavortext","Éos est la déesse et la personnification de l'aurore, s'élevant chaque matin des bords du fleuve Océan pour apporter la lumière et dissiper la nuit."
"rel_dionysos_name_01","Essence de l'Outre de Dionysos"
"rel_dionysos_name_02","Émanation de l'Outre de Dionysos"
"rel_dionysos_name_03","Incarnation de l'Outre de Dionysos"
"rel_dionysos_flavortext","Le breuvage de Dionysos, dieu grec du vin et de l'ivresse, est une mixture puissante, en vérité."
"rel_eris_name_01","Essence de la Discorde d'Éris"
"rel_eris_name_02","Émanation de la Discorde d'Éris"
"rel_eris_name_03","Incarnation de la Discorde d'Éris"
"rel_eris_flavortext","Éris est la déesse du chaos, qui se délecte des conflits entre les dieux et les mortels. Sa discorde est son arme et son symbole, semant des querelles partout où elle passe."
"rel_aphrodite_name_01","Essence de la Rose Éternelle d'Aphrodite"
"rel_aphrodite_name_02","Émanation de la Rose Éternelle d'Aphrodite"
"rel_aphrodite_name_03","Incarnation de la Rose Éternelle d'Aphrodite"
"rel_aphrodite_flavortext","La rose éternelle d'Aphrodite brille d'une beauté dépassant l'entendement des mortels. C'est l'emblème de son amour et de sa passion sans fin."
"rel_skylla_name_01","Essence de la Furie de Scylla"
"rel_skylla_name_02","Émanation de la Furie de Scylla"
"rel_skylla_name_03","Incarnation de la Furie de Scylla"
"rel_skylla_flavortext","Douce nymphe injustement transformée en monstre, Scylla est devenue une créature de rage pure et de faim insatiable."
"rel_gaia_name_01","Essence de la Bénédiction de Gaïa"
"rel_gaia_name_02","Émanation de la Bénédiction de Gaïa"
"rel_gaia_name_03","Incarnation de la Bénédiction de Gaïa"
"rel_gaia_flavortext","Gaïa est la déesse primordiale de la terre, et la mère de Typhon et d'Ouranos. Sa bénédiction apporte la vie et la fertilité à tout ce qui respire."
"rel_goldenfleece_name_01","Essence de la Toison d'Or"
"rel_goldenfleece_name_02","Émanation de la Toison d'Or"
"rel_goldenfleece_name_03","Incarnation de la Toison d'Or"
"rel_goldenfleece_flavortext","La Toison d'Or, convoitée par Jason et ses Argonautes, est réputée pour posséder un immense pouvoir ainsi qu'une grande beauté."
"rel_hades_name_01","Essence de la Kunée d'Hadès"
"rel_hades_name_02","Émanation de la Kunée d'Hadès"
"rel_hades_name_03","Incarnation de la Kunée d'Hadès"
"rel_hades_flavortext","Hadès est le dieu des Enfers, souverain des morts. Son casque d'obscurité, la Kunée, lui permet de se déplacer invisible parmi les siens, marquant sa domination sur les ombres."
"rel_hekate_name_01","Essence du Croissant d'Hécate"
"rel_hekate_name_02","Émanation du Croissant d'Hécate"
"rel_hekate_name_03","Incarnation du Croissant d'Hécate"
"rel_hekate_flavortext","Hécate est une mystérieuse déesse grecque associée à la lune, à l'accouchement et à la magie."
"rel_helios_name_01","Essence de la Couronne Solaire d'Hélios"
"rel_helios_name_02","Émanation de la Couronne Solaire d'Hélios"
"rel_helios_name_03","Incarnation de la Couronne Solaire d'Hélios"
"rel_helios_flavortext","La Couronne Solaire d'Hélios est le symbole de son autorité sur les cieux. Ses rayons d'or reflètent sa force, sa vitalité et le cycle éternel du jour."
"rel_hera_name_01","Essence du Sceptre d'Héra"
"rel_hera_name_02","Émanation du Sceptre d'Héra"
"rel_hera_name_03","Incarnation du Sceptre d'Héra"
"rel_hera_flavortext","La reine des dieux de l'Olympe. Son sceptre est la marque de sa souveraineté et de sa majesté divine."
"rel_herakles_name_01","Essence de la Force d'Héraclès"
"rel_herakles_name_02","Émanation de la Force d'Héraclès"
"rel_herakles_name_03","Incarnation de la Force d'Héraclès"
"rel_herakles_flavortext","Héraclès était le plus fort de tous les héros grecs."
"rel_hermes_name_01","Essence de la Sandale d'Hermès"
"rel_hermes_name_02","Émanation de la Sandale d'Hermès"
"rel_hermes_name_03","Incarnation de la Sandale d'Hermès"
"rel_hermes_flavortext","Hermès le Messager est le plus rapide des dieux grecs. Il est célèbre pour ses emblématiques sandales ailées."
"rel_hestia_name_01","Essence des Braises d'Hestia"
"rel_hestia_name_02","Émanation des Braises d'Hestia"
"rel_hestia_name_03","Incarnation des Braises d'Hestia"
"rel_hestia_flavortext","Hestia, déesse du foyer, accorde chaleur et paix aux dieux comme aux mortels."
"rel_hippolyta_name_01","Essence de la Ceinture d'Hippolyte"
"rel_hippolyta_name_02","Émanation de la Ceinture d'Hippolyte"
"rel_hippolyta_name_03","Incarnation de la Ceinture d'Hippolyte"
"rel_hippolyta_flavortext","Hippolyte est la fille d'Arès et la reine des Amazones ; elle porte fièrement la ceinture de guerre de son père."
"rel_bellerophon_name_01","Essence de l'Hubris de Bellérophon"
"rel_bellerophon_name_02","Émanation de l'Hubris de Bellérophon"
"rel_bellerophon_name_03","Incarnation de l'Hubris de Bellérophon"
"rel_bellerophon_flavortext","Héros divin de Corinthe, Bellérophon fut célèbre pour avoir terrassé la Chimère et dompté le cheval ailé Pégase."
"rel_hypnos_name_01","Essence du Calme d'Hypnos"
"rel_hypnos_name_02","Émanation du Calme d'Hypnos"
"rel_hypnos_name_03","Incarnation du Calme d'Hypnos"
"rel_hypnos_flavortext","Hypnos est la personnification du sommeil. Son calme est son pouvoir, berçant le monde dans une paix profonde."
"rel_moros_name_01","Essence de l'Inévitabilité de Moros"
"rel_moros_name_02","Émanation de l'Inévitabilité de Moros"
"rel_moros_name_03","Incarnation de l'Inévitabilité de Moros"
"rel_moros_flavortext","Moros, frère de Thanatos et des Moires, est la personnification du destin funeste et imminent."
"rel_ajax_name_01","Essence de la Volonté d'Ajax"
"rel_ajax_name_02","Émanation de la Volonté d'Ajax"
"rel_ajax_name_03","Incarnation de la Volonté d'Ajax"
"rel_ajax_flavortext","Comptant parmi les plus grands héros de la guerre de Troie, Ajax était connu non seulement pour sa force, mais surtout pour son esprit indomptable."
"rel_minos_name_01","Essence du Jugement de Minos"
"rel_minos_name_02","Émanation du Jugement de Minos"
"rel_minos_name_03","Incarnation du Jugement de Minos"
"rel_minos_flavortext","Minos, fils de Zeus et roi de Crète, était célèbre pour sa sagesse. Dans la mort, il devint juge des âmes."
"rel_kronos_name_01","Essence de la Faux de Cronos"
"rel_kronos_name_02","Émanation de la Faux de Cronos"
"rel_kronos_name_03","Incarnation de la Faux de Cronos"
"rel_kronos_flavortext","La faux de Cronos est l'instrument de la volonté du Titan. Par elle, il commande le temps, la mortalité et le destin du monde."
"rel_perseus_name_01","Essence de l'Héritage de Persée"
"rel_perseus_name_02","Émanation de l'Héritage de Persée"
"rel_perseus_name_03","Incarnation de l'Héritage de Persée"
"rel_perseus_flavortext","De la décapitation de la Gorgone Méduse au sauvetage de royaumes, Persée laissa derrière lui un héritage plus grand que celui des rois."
"rel_medea_name_01","Essence du Baume de Médée"
"rel_medea_name_02","Émanation du Baume de Médée"
"rel_medea_name_03","Incarnation du Baume de Médée"
"rel_medea_flavortext","Médée est une princesse et sorcière de Colchide, experte en potions. Elle aida Jason dans sa quête de la Toison d'Or."
"rel_pandora_name_01","Essence de la Boîte de Pandore"
"rel_pandora_name_02","Émanation de la Boîte de Pandore"
"rel_pandora_name_03","Incarnation de la Boîte de Pandore"
"rel_pandora_flavortext","Pandore fut la première femme mortelle, façonnée par Héphaïstos. Sa boîte contient les calamités du monde, mais aussi le mince espoir qui reste à l'humanité."
"rel_persephone_name_01","Essence des Larmes de Perséphone"
"rel_persephone_name_02","Émanation des Larmes de Perséphone"
"rel_persephone_name_03","Incarnation des Larmes de Perséphone"
"rel_persephone_flavortext","Perséphone fut contrainte d'épouser Hadès. Elle règne désormais sur les Enfers, mais cela ne lui apporte que chagrin."
"rel_poseidon_name_01","Essence du Trident de Poséidon"
"rel_poseidon_name_02","Émanation du Trident de Poséidon"
"rel_poseidon_name_03","Incarnation du Trident de Poséidon"
"rel_poseidon_flavortext","Les Cyclopes qui forgèrent la foudre de Zeus offrirent également à son frère ce trident magique."
"rel_prometheus_name_01","Essence de la Flamme de Prométhée"
"rel_prometheus_name_02","Émanation de la Flamme de Prométhée"
"rel_prometheus_name_03","Incarnation de la Flamme de Prométhée"
"rel_prometheus_flavortext","Prométhée, fils du titan Japet, offrit le don du feu à l'humanité."
"rel_ares_name_01","Essence de la Rage d'Arès"
"rel_ares_name_02","Émanation de la Rage d'Arès"
"rel_ares_name_03","Incarnation de la Rage d'Arès"
"rel_ares_flavortext","Arès, dieu grec de la guerre, est autant vénéré que craint. Il est cruel, vindicatif et presque fou ; seul un imbécile risquerait son courroux."
"rel_nemesis_name_01","Essence du Châtiment de Némésis"
"rel_nemesis_name_02","Émanation du Châtiment de Némésis"
"rel_nemesis_name_03","Incarnation du Châtiment de Némésis"
"rel_nemesis_flavortext","Némésis est la déesse de la justice distributive ; elle croit qu'un châtiment rapide est le seul moyen d'empêcher le monde de sombrer dans la ruine."
"rel_rheia_name_01","Essence du Don de Vie de Rhéa"
"rel_rheia_name_02","Émanation du Don de Vie de Rhéa"
"rel_rheia_name_03","Incarnation du Don de Vie de Rhéa"
"rel_rheia_flavortext","Rhéa, mère des dieux et gardienne de la vie, veille sur ses enfants. Son don assure la pérennité de leur pouvoir."
"rel_selene_name_01","Essence de l'Éclat Lunaire de Séléné"
"rel_selene_name_02","Émanation de l'Éclat Lunaire de Séléné"
"rel_selene_name_03","Incarnation de l'Éclat Lunaire de Séléné"
"rel_selene_flavortext","Séléné est la déesse de la lune qui traverse le ciel nocturne. Sa lumière est un symbole de sérénité et son cadeau au monde."
"rel_hector_name_01","Essence de l'Ombre d'Hector"
"rel_hector_name_02","Émanation de l'Ombre d'Hector"
"rel_hector_name_03","Incarnation de l'Ombre d'Hector"
"rel_hector_flavortext","Hector, prince de Troie, était renommé pour son esprit noble et sa nature inébranlable. Il tomba en défendant sa patrie."
"rel_orpheus_name_01","Essence du Chant d'Orphée"
"rel_orpheus_name_02","Émanation du Chant d'Orphée"
"rel_orpheus_name_03","Incarnation du Chant d'Orphée"
"rel_orpheus_flavortext","Orphée était un musicien légendaire qui descendit aux Enfers pour retrouver sa femme Eurydice. Héphaïstos finit par élever les deux amants sur l'Olympe."
"rel_theia_name_01","Essence de l'Éclat de Théia"
"rel_theia_name_02","Émanation de l'Éclat de Théia"
"rel_theia_name_03","Incarnation de l'Éclat de Théia"
"rel_theia_flavortext","Théia, Titanide de la vue. Son éclat apporte la clarté et la radiance au cosmos."
"rel_typhon_name_01","Essence du Crochet de Typhon"
"rel_typhon_name_02","Émanation du Crochet de Typhon"
"rel_typhon_name_03","Incarnation du Crochet de Typhon"
"rel_typhon_flavortext","Né pour défier les dieux, Typhon fut la créature la plus terrifiante du monde, jusqu'à ce qu'il soit abattu par un héros sans nom."
"rel_achilles_name_01","Essence de la Valeur d'Achille"
"rel_achilles_name_02","Émanation de la Valeur d'Achille"
"rel_achilles_name_03","Incarnation de la Valeur d'Achille"
"rel_achilles_flavortext","Achille fut le plus grand guerrier grec de la guerre de Troie. Sa force et sa vitesse étaient légendaires."
"rel_narcissus_name_01","Essence de la Vanité de Narcisse"
"rel_narcissus_name_02","Émanation de la Vanité de Narcisse"
"rel_narcissus_name_03","Incarnation de la Vanité de Narcisse"
"rel_narcissus_flavortext","Narcisse, dont la beauté était inégalée, fut obsédé par lui-même. Sa vanité fut à la fois sa fierté et sa malédiction."
"rel_chiron_name_01","Essence de la Sagesse de Chiron"
"rel_chiron_name_02","Émanation de la Sagesse de Chiron"
"rel_chiron_name_03","Incarnation de la Sagesse de Chiron"
"rel_chiron_flavortext","Chiron est le plus sage des centaures, précepteur de héros et guérisseur. Sa sagesse guide les mortels et les dieux avec patience."
"rel_zeus_name_01","Essence du Foudre de Zeus"
"rel_zeus_name_02","Émanation du Foudre de Zeus"
"rel_zeus_name_03","Incarnation du Foudre de Zeus"
"rel_zeus_flavortext","Zeus est le plus puissant des dieux de l'Olympe. Le foudre est son arme et son symbole."
