Key,SourceString,DevComment
"wp_unique_sword1h_t1_04_flavortext","They say Asklepios used this on his patients. It now serves a more gruesome purpose.",""
"wp_unique_sword1h_t1_05_name","Blademagos Sword","ex battlemage"
"wp_unique_sword1h_t1_05_flavortext","A sword made for magic users rather than warriors.",""
"wp_unique_sword1h_t1_q1_name","Kaenas\' Sword",""
"wp_unique_sword1h_t1_q1_flavortext","The sword of the heroic spirit you met on the beach.",""
"wp_unique_sword1h_t2_01_name","Silence",""
"wp_unique_sword1h_t2_01_flavortext","Created by a king to break a nymph\'s spell, this sword sparks fear in the hearts of magic-users.",""
"wp_unique_sword1h_t2_02_name","Doxa Kalo",""
"wp_unique_sword1h_t2_02_flavortext","",""
"wp_unique_sword1h_t2_03_name","Sword of Theia","ex light"
"wp_unique_sword1h_t2_03_flavortext","Theia, mother of Helios and Selene, is the titan of light and brilliance.",""
"wp_unique_sword1h_t2_04_name","Nessus\' Rage",""
"wp_unique_sword1h_t2_04_flavortext","The bloodthirst of the mighty centaur warrior still lingers in this Khopesh.",""
"wp_unique_sword1h_t2_05_name","Edge of Darkness","ex sword"
"wp_unique_sword1h_t2_05_flavortext","A cursed sword from the land of the midnight sun.",""
"wp_unique_sword1h_t3_01_name","Sword of Damocles",""
"wp_unique_sword1h_t3_01_flavortext","",""
"wp_unique_sword1h_t3_02_name","Sarpedon\'s Xiphos","ex burning spartan"
"wp_unique_sword1h_t3_02_flavortext","A grim remnant from the fall of Sparta.",""
"wp_unique_sword1h_t3_03_name","Ketos Jaw",""
"wp_unique_sword1h_t3_03_flavortext","",""
"wp_unique_sword1h_t3_04_name","Mindrazor",""
"wp_unique_sword1h_t3_04_flavortext","",""
"wp_unique_sword1h_t3_05_name","Sword of Hades",""
"wp_unique_sword1h_t3_05_flavortext","",""
"wp_unique_axe1h_t1_01_name","Frostbite",""
"wp_unique_axe1h_t1_01_flavortext","An insidious weapon designed to freeze and shatter living beings.",""
"wp_unique_axe1h_t1_02_name","Onager",""
"wp_unique_axe1h_t1_02_flavortext","Named after a tenacious donkey.",""
"wp_unique_axe1h_t1_03_name","Sagaris Karkinos",""
"wp_unique_axe1h_t1_03_flavortext","An axe fashioned from razor-sharp crab claws.",""
"wp_unique_axe1h_t1_04_name","Brigand’s Axe",""
"wp_unique_axe1h_t1_04_flavortext","A well-honed blade coated in poison.",""
"wp_unique_axe1h_t2_01_name","Scylla’s Jags",""
"wp_unique_axe1h_t2_01_flavortext","",""
"wp_unique_axe1h_t2_02_name","Charybdis\' Whirl",""
"wp_unique_axe1h_t2_02_flavortext","",""
"wp_unique_axe1h_t2_03_name","Pyrrhos",""
"wp_unique_axe1h_t2_03_flavortext","",""
"wp_unique_axe1h_t2_04_name","Persephone’s Caress",""
"wp_unique_axe1h_t2_04_flavortext","",""
"wp_unique_axe1h_t3_01_name","…","something cold"""""
"wp_unique_axe1h_t3_01_flavortext","",""
"wp_unique_axe1h_t3_02_name","Atropos\' Assistant",""
"wp_unique_axe1h_t3_02_flavortext","",""
"wp_unique_axe1h_t3_03_name","Pytho",""
"wp_unique_axe1h_t3_03_flavortext","",""
"wp_unique_axe1h_t3_04_name","Zeus\' Judgement",""
"wp_unique_axe1h_t3_04_flavortext","",""
"wp_unique_blunt1h_t1_01_name","Ratcatcher’s Stick",""
"wp_unique_blunt1h_t1_01_flavortext","When rats were breedng in the sewers, Tegean citizens developed an unsettling mixture of volatile poisons.",""
"wp_unique_blunt1h_t1_02_name","Soul Feast",""
"wp_unique_blunt1h_t1_02_flavortext","A hungry spirit was bound within this weapon.",""
"wp_unique_blunt1h_t1_03_name","Coral Mace",""
"wp_unique_blunt1h_t1_03_flavortext","This coral is hard enough to shatter bone.",""
"wp_unique_blunt1h_t1_04_name","Lycurgus\' Wisdom",""
"wp_unique_blunt1h_t1_04_flavortext","",""
"wp_unique_blunt1h_t2_01_name","Thorny Maul",""
"wp_unique_blunt1h_t2_01_flavortext","Block crush and impale, all with one handy tool.",""
"wp_unique_blunt1h_t2_02_name","Laykaion Malleus",""
"wp_unique_blunt1h_t2_02_flavortext","",""
"wp_unique_blunt1h_t2_03_name","Cerberus\' Bone",""
"wp_unique_blunt1h_t2_03_flavortext","",""
"wp_unique_blunt1h_t2_04_name","Kiss of Lethe",""
"wp_unique_blunt1h_t2_04_flavortext","",""
"wp_unique_blunt1h_t3_01_name","Hand of Hephaestus",""
"wp_unique_blunt1h_t3_01_flavortext","",""
"wp_unique_blunt1h_t3_02_name","Club of Heracles",""
"wp_unique_blunt1h_t3_02_flavortext","",""
"wp_unique_blunt1h_t3_03_name","Scepter of Thanatos",""
"wp_unique_blunt1h_t3_03_flavortext","",""
"wp_unique_blunt1h_t3_04_name","Truncheon of Malice",""
"wp_unique_blunt1h_t3_04_flavortext","",""
"wp_unique_blunt2h_t1_01_name","Fungus Log",""
"wp_unique_blunt2h_t1_01_flavortext","Emits a cloud of spores when shaken.",""
"wp_unique_blunt2h_t1_02_name","Prometheus\' Torch",""
"wp_unique_blunt2h_t1_02_flavortext","Giving humans fire elevated them above any other of the gods\' creations.",""
"wp_unique_blunt2h_t1_03_name","Dam Breaker",""
"wp_unique_blunt2h_t1_03_flavortext","An extremely heavy sledgehammer.",""
"wp_unique_blunt2h_t1_04_name","Perdix\' Sphere",""
"wp_unique_blunt2h_t1_04_flavortext","While ingenuity ran in the family, Perdix had a special interest in iron and magnetism.",""
"wp_unique_blunt2h_t2_01_name","Demeter’s Sorrow",""
"wp_unique_blunt2h_t2_01_flavortext","",""
"wp_unique_blunt2h_t2_02_name","Crush-Stick of the Fallen God",""
"wp_unique_blunt2h_t2_02_flavortext","A club made of junk, seemingly for a creature the size of a cyclops.",""
"wp_unique_blunt2h_t2_03_name","Scepter of the Shadow King",""
"wp_unique_blunt2h_t2_03_flavortext","",""
"wp_unique_blunt2h_t2_04_name","Orion’s Mace",""
"wp_unique_blunt2h_t2_04_flavortext","",""
"wp_unique_blunt2h_t3_01_name","Giant’s Tooth",""
"wp_unique_blunt2h_t3_01_flavortext","",""
"wp_unique_blunt2h_t3_02_name","Archimedes\' Rod",""
"wp_unique_blunt2h_t3_02_flavortext","",""
"wp_unique_blunt2h_t3_03_name","Hammer of the Sun",""
"wp_unique_blunt2h_t3_03_flavortext","",""
"wp_unique_blunt2h_t3_04_name","Sapros the Corrupter",""
"wp_unique_blunt2h_t3_04_flavortext","",""
"wp_unique_axe2h_t1_01_name","Raging Bull",""
"wp_unique_axe2h_t1_01_flavortext","This massive axe that once hung above the entrance to the Labyrinth in Knossos.",""
"wp_unique_axe2h_t1_02_name","Megalos",""
"wp_unique_axe2h_t1_02_flavortext","A large axe once gifted by Zeus to the king of Thracia.",""
"wp_unique_axe2h_t1_03_name","Bonehack",""
"wp_unique_axe2h_t1_03_flavortext","",""
"wp_unique_axe2h_t1_04_name","Harpe",""
"wp_unique_axe2h_t1_04_flavortext","The flames of Hephaistos\'s forge still burn in this weapon\'s blade.",""
"wp_unique_axe2h_t1_05_name","Adranis",""
"wp_unique_axe2h_t1_05_flavortext","",""
"wp_unique_axe2h_t1_q1_name","Hippokampos Scapula",""
"wp_unique_axe2h_t1_q1_flavortext","For centuries the creature lay in wait, lurking in its prison of stone, until you slew it.",""
"wp_unique_axe2h_t2_01_name","Old Notch",""
"wp_unique_axe2h_t2_01_flavortext","",""
"wp_unique_axe2h_t2_02_name","Demeter’s Lament",""
"wp_unique_axe2h_t2_02_flavortext","",""
"wp_unique_axe2h_t2_03_name","Cybele’s Grace",""
"wp_unique_axe2h_t2_03_flavortext","",""
"wp_unique_axe2h_t2_04_name","Rimescythe",""
"wp_unique_axe2h_t2_04_flavortext","When Demeter lifted the eternal winter, only this axe remained.",""
"wp_unique_axe2h_t2_05_name","Hydra Fang",""
"wp_unique_axe2h_t2_05_flavortext","",""
"wp_unique_axe2h_t2_06_name","Phoenix",""
"wp_unique_axe2h_t2_06_flavortext","",""
"wp_unique_axe2h_t3_01_name","Sagaris Tartarus",""
"wp_unique_axe2h_t3_01_flavortext","",""
"wp_unique_axe2h_t3_02_name","Blade of Thanatos",""
"wp_unique_axe2h_t3_02_flavortext","",""
"wp_unique_axe2h_t3_03_name","Acheron’s Touch",""
"wp_unique_axe2h_t3_03_flavortext","",""
"wp_unique_axe2h_t3_04_name","Key of Elysium",""
"wp_unique_axe2h_t3_04_flavortext","Legend says that the strength of great heroes past lingers in this mighty weapon.",""
"wp_unique_axe2h_t3_05_name","Hades\' Sickle",""
"wp_unique_axe2h_t3_05_flavortext","",""
"wp_unique_axe2h_t3_06_name","Sickle of Kronos",""
"wp_unique_axe2h_t3_06_flavortext","",""
"wp_unique_spear1h_t1_01_name","Shadowsting",""
"wp_unique_spear1h_t1_01_flavortext","A dark aura surrounds this old dory.",""
"wp_unique_spear1h_t1_02_name","Cuttlebone Standard",""
"wp_unique_spear1h_t1_02_flavortext","A weird magical spear used in ichthian rituals.",""
"wp_unique_spear1h_t1_03_name","Huntsman’s Barb",""
"wp_unique_spear1h_t1_03_flavortext","A spear that always strikes true, enchanted by Artemis as a gift to Orion.",""
"wp_unique_spear1h_t1_04_name","Shiverblood",""
"wp_unique_spear1h_t1_04_flavortext","A masterpiece from the Temple of Kheimon, prime purveyor of cold-enchanted weapons and silent guardsmen.",""
"wp_unique_spear1h_t1_05_name","Flintvine",""
"wp_unique_spear1h_t1_05_flavortext","",""
"wp_unique_spear1h_t1_06_name","Fire Spike",""
"wp_unique_spear1h_t1_06_flavortext","",""
"wp_unique_spear1h_t2_01_name","Queen Zenobia’s Spear",""
"wp_unique_spear1h_t2_01_flavortext","",""
"wp_unique_spear1h_t2_02_name","Spear of Myrine",""
"wp_unique_spear1h_t2_02_flavortext","The legendary Amazon queen inspired her followers by leading from the front.",""
"wp_unique_spear1h_t2_03_name","Icefire Pike",""
"wp_unique_spear1h_t2_03_flavortext","",""
"wp_unique_spear1h_t2_04_name","Phorkos\' Trident",""
"wp_unique_spear1h_t2_04_flavortext","",""
"wp_unique_spear1h_t2_05_name","Nagblade",""
"wp_unique_spear1h_t2_05_flavortext","",""
"wp_unique_spear1h_t2_06_name","Blood of Ouranos",""
"wp_unique_spear1h_t2_06_flavortext","",""
"wp_unique_spear1h_t3_01_name","Achilles\' Spear",""
"wp_unique_spear1h_t3_01_flavortext","",""
"wp_unique_spear1h_t3_02_name","Soul Harvest",""
"wp_unique_spear1h_t3_02_flavortext","",""
"wp_unique_spear1h_t3_03_name","Fork of the Melinoe","ex Hades"
"wp_unique_spear1h_t3_03_flavortext","",""
"wp_unique_spear1h_t3_04_name","Poseidon’s Trident",""
"wp_unique_spear1h_t3_04_flavortext","",""
"wp_unique_spear1h_t3_05_name","Reach of Helios",""
"wp_unique_spear1h_t3_05_flavortext","",""
"wp_unique_spear1h_t3_06_name","Scorpion\'s Tail",""
"wp_unique_spear1h_t3_06_flavortext","",""
"wp_unique_bow_t1_01_name","Storm Strike",""
"wp_unique_bow_t1_01_flavortext","A weapon enchanted with the power of wind and lightning.",""
"wp_unique_bow_t1_02_name","Ram Bow II",""
"wp_unique_bow_t1_02_flavortext","A bow that hits with unusually explosive force.",""
"wp_unique_bow_t1_03_name","Bow of the Naiad",""
"wp_unique_bow_t1_03_flavortext","",""
"wp_unique_bow_t1_04_name","Barrage",""
"wp_unique_bow_t1_04_flavortext","Sometimes quantity is the answer after all.",""
"wp_unique_bow_t1_05_name","Spectral Warbow",""
"wp_unique_bow_t1_05_flavortext","",""
"wp_unique_bow_t2_01_name","Teucer’s Warbow",""
"wp_unique_bow_t2_01_flavortext","",""
"wp_unique_bow_t2_02_name","Cupid’s Bow",""
"wp_unique_bow_t2_02_flavortext","",""
"wp_unique_bow_t2_03_name","Otrera’s Answer",""
"wp_unique_bow_t2_03_flavortext","",""
"wp_unique_bow_t2_04_name","Bow of Eurytus",""
"wp_unique_bow_t2_04_flavortext","",""
"wp_unique_bow_t2_05_name","Arch of Iris",""
"wp_unique_bow_t2_05_flavortext","The string of this bow is a magical band of shifting colors.",""
"wp_unique_bow_t3_01_name","Bow of Herakles",""
"wp_unique_bow_t3_01_flavortext","",""
"wp_unique_bow_t3_02_name","Bow of Odysseus",""
"wp_unique_bow_t3_02_flavortext","",""
"wp_unique_bow_t3_03_name","Artemis\' Silver Bow",""
"wp_unique_bow_t3_03_flavortext","",""
"wp_unique_bow_t3_04_name","The Arc",""
"wp_unique_bow_t3_04_flavortext","",""
"wp_unique_bow_t3_05_name","Wings of Retribution",""
"wp_unique_bow_t3_05_flavortext","",""
"wp_unique_staff_t1_01_name","Fotia",""
"wp_unique_staff_t1_01_flavortext","A staff infused with the very essence of fire.",""
"wp_unique_staff_t1_02_name","Thyrsus",""
"wp_unique_staff_t1_02_flavortext","A vined staff, sacred to Dionysos.",""
"wp_unique_staff_t1_03_name","Ilektrismos",""
"wp_unique_staff_t1_03_flavortext","Crafting Zeus\' thunderbolt took many failed attempts, some more promising than others.",""
"wp_unique_staff_t1_04_name","Telekinos",""
"wp_unique_staff_t1_04_flavortext","A staff that projects blunt force, useful to settle scholarly disagreements.",""
"wp_unique_staff_t1_05_name","Grace of Eos",""
"wp_unique_staff_t1_05_flavortext","Holding this staff fills you with the vim of a new day.",""
"wp_unique_staff_t2_01_name","Chromatic Staff",""
"wp_unique_staff_t2_01_flavortext","",""
"wp_unique_staff_t2_02_name","Hades\' Scepter",""
"wp_unique_staff_t2_02_flavortext","",""
"wp_unique_staff_t2_03_name","Staff of Asclepios",""
"wp_unique_staff_t2_03_flavortext","",""
"wp_unique_staff_t2_04_name","Cthonian Needler",""
"wp_unique_staff_t2_04_flavortext","",""
"wp_unique_staff_t2_05_name","Moros Nyx",""
"wp_unique_staff_t2_05_flavortext","",""
"wp_unique_staff_t3_01_name","Scepter of Carnus",""
"wp_unique_staff_t3_01_flavortext","",""
"wp_unique_staff_t3_02_name","Staff of Apollo",""
"wp_unique_staff_t3_02_flavortext","",""
"wp_unique_staff_t3_03_name","Fingerbone of Boreas",""
"wp_unique_staff_t3_03_flavortext","",""
"wp_unique_staff_t3_04_name","Caduceus",""
"wp_unique_staff_t3_04_flavortext","",""
"wp_unique_staff_t3_05_name","Fateweaver",""
"wp_unique_staff_t3_05_flavortext","",""
"wp_unique_shield_t1_01_name","Thornwall",""
"wp_unique_shield_t1_01_flavortext","Sharp poisoned spikes dampen the appetite of most would-be predators.",""
"wp_unique_shield_t1_02_name","Moon Disc",""
"wp_unique_shield_t1_02_flavortext","A mystical shield bearing the symbols of Hekate.",""
"wp_unique_shield_t1_03_name","Aegis of Laconia",""
"wp_unique_shield_t1_03_flavortext","The iconic shield of Spartan warrior, rarely found without its owner.",""
"wp_unique_shield_t1_04_name","Gryphon Hunter Shield",""
"wp_unique_shield_t1_04_flavortext","The bigger the creature, the greater the glory.",""
"wp_unique_shield_t1_05_name","Ceremonial Plate",""
"wp_unique_shield_t1_05_flavortext","A large embossed bowl depicting mythical scenes of Glaukos and the people of Pyrgos.",""
"wp_unique_shield_t1_06_name","Crab Shield",""
"wp_unique_shield_t1_06_flavortext","A shield fashioned from a sturdy crab shell.",""
"wp_unique_shield_t2_01_name","Deimos",""
"wp_unique_shield_t2_01_flavortext","",""
"wp_unique_shield_t2_02_name","Zeno’s Third Paradox",""
"wp_unique_shield_t2_02_flavortext","",""
"wp_unique_shield_t2_03_name","Shield of the Korybantes",""
"wp_unique_shield_t2_03_flavortext","",""
"wp_unique_shield_t2_04_name","Scale of the Black Dragon",""
"wp_unique_shield_t2_04_flavortext","",""
"wp_unique_shield_t2_05_name","Shadow Wall",""
"wp_unique_shield_t2_05_flavortext","",""
"wp_unique_shield_t2_06_name","Shield of Aeneas",""
"wp_unique_shield_t2_06_flavortext","",""
"wp_unique_shield_t3_01_name","Athena’s Mirror Shield",""
"wp_unique_shield_t3_01_flavortext","",""
"wp_unique_shield_t3_02_name","Aionios",""
"wp_unique_shield_t3_02_flavortext","",""
"wp_unique_shield_t3_03_name","Bloodthirst the Glutton",""
"wp_unique_shield_t3_03_flavortext","",""
"wp_unique_shield_t3_04_name","Defiance of Heracles",""
"wp_unique_shield_t3_04_flavortext","",""
"wp_unique_shield_t3_05_name","Shield of Hephaestus",""
"wp_unique_shield_t3_05_flavortext","",""
"wp_unique_shield_t3_06_name","Glacier Wall",""
"wp_unique_shield_t3_06_flavortext","",""
"wp_unique_thrown_t1_01_name","Hoi Polloi","keep as is!"
"wp_unique_thrown_t1_01_flavortext","",""
"wp_unique_thrown_t1_02_name","Bellerophon’s Discus",""
"wp_unique_thrown_t1_02_flavortext","",""
"wp_unique_thrown_t1_03_name","Demeter’s Joy",""
"wp_unique_thrown_t1_03_flavortext","",""
"wp_unique_thrown_t1_04_name","Poison Gas Vial",""
"wp_unique_thrown_t1_04_flavortext","",""
"wp_unique_thrown_t1_05_name","Sea Urchins",""
"wp_unique_thrown_t1_05_flavortext","",""
"wp_unique_thrown_t2_01_name","Winds of Asphodel",""
"wp_unique_thrown_t2_01_flavortext","",""
"wp_unique_thrown_t2_02_name","Sun Discs",""
"wp_unique_thrown_t2_02_flavortext","",""
"wp_unique_thrown_t2_03_name","Bat Wings",""
"wp_unique_thrown_t2_03_flavortext","",""
"wp_unique_thrown_t2_04_name","Touch of Nyx",""
"wp_unique_thrown_t2_04_flavortext","",""
"wp_unique_thrown_t2_05_name","Fingers of Charon",""
"wp_unique_thrown_t2_05_flavortext","",""
"wp_unique_thrown_t3_01_name","Blessings of the Moirae",""
"wp_unique_thrown_t3_01_flavortext","",""
"wp_unique_thrown_t3_02_name","Forge Hammers",""
"wp_unique_thrown_t3_02_flavortext","",""
"wp_unique_thrown_t3_03_name","Greek Fire",""
"wp_unique_thrown_t3_03_flavortext","",""
"wp_unique_thrown_t3_04_name","Nails of Punishment",""
"wp_unique_thrown_t3_04_flavortext","",""
"wp_unique_thrown_t3_05_name","Gorgon’s Edge",""
"wp_unique_thrown_t3_05_flavortext","",""
"wp_unique_talisman_t1_01_name","Conch Talisman",""
"wp_unique_talisman_t1_01_flavortext","",""
"wp_unique_talisman_t1_02_name","Papyrus Scroll",""
"wp_unique_talisman_t1_02_flavortext","",""
"wp_unique_talisman_t1_03_name","Mistletoe",""
"wp_unique_talisman_t1_03_flavortext","",""
"wp_unique_talisman_t1_04_name","Druidic Wreath",""
"wp_unique_talisman_t1_04_flavortext","",""
"wp_unique_talisman_t1_05_name","Death Rattle",""
"wp_unique_talisman_t1_05_flavortext","",""
"wp_unique_talisman_t1_06_name","Crimson Viper",""
"wp_unique_talisman_t1_06_flavortext","",""
"wp_unique_talisman_t2_01_name","Chaos Cube",""
"wp_unique_talisman_t2_01_flavortext","",""
"wp_unique_talisman_t2_02_name","Arcane Mirror",""
"wp_unique_talisman_t2_02_flavortext","",""
"wp_unique_talisman_t2_03_name","Ariadne’s Thread",""
"wp_unique_talisman_t2_03_flavortext","",""
"wp_unique_talisman_t2_04_name","Blood Gem",""
"wp_unique_talisman_t2_04_flavortext","",""
"wp_unique_talisman_t2_05_name","Crystal Tear",""
"wp_unique_talisman_t2_05_flavortext","",""
"wp_unique_talisman_t2_06_name","Earthen Talisman",""
"wp_unique_talisman_t2_06_flavortext","",""
"wp_unique_talisman_t3_01_name","Soul Prism",""
"wp_unique_talisman_t3_01_flavortext","",""
"wp_unique_talisman_t3_02_name","Poseidon’s Net",""
"wp_unique_talisman_t3_02_flavortext","",""
"wp_unique_talisman_t3_03_name","Molten Orb",""
"wp_unique_talisman_t3_03_flavortext","",""
"wp_unique_talisman_t3_04_name","Lyre of Apollo",""
"wp_unique_talisman_t3_04_flavortext","",""
"wp_unique_talisman_t3_05_name","Gorgon Head",""
"wp_unique_talisman_t3_05_flavortext","",""
"wp_unique_talisman_t3_06_name","Scales of Justice",""
"wp_unique_talisman_t3_06_flavortext","",""
"wp_unique_ring_t1_01_name","Captain\'s Signet",""
"wp_unique_ring_t1_01_flavortext","The iron seal of a veteran commander.",""
"wp_unique_ring_t1_02_name","Cartouche Ring",""
"wp_unique_ring_t1_02_flavortext","A fine gold ring with a multitude of small colorful stones.",""
"wp_unique_ring_t1_03_name","Limos Stone",""
"wp_unique_ring_t1_03_flavortext","",""
"wp_unique_ring_t1_04_name","Cratus Coil",""
"wp_unique_ring_t1_04_flavortext","Touched by Strength itself, the plain looking metal emenates an aura of might and fury.",""
"wp_unique_ring_t1_05_name","The Fragile",""
"wp_unique_ring_t1_05_flavortext","",""
"wp_unique_ring_t1_06_name","Star Stone",""
"wp_unique_ring_t1_06_flavortext","",""
"wp_unique_ring_t2_01_name","Alke",""
"wp_unique_ring_t2_01_flavortext","",""
"wp_unique_ring_t2_02_name","Timaios",""
"wp_unique_ring_t2_02_flavortext","",""
"wp_unique_ring_t2_03_name","Chiron’s Loop",""
"wp_unique_ring_t2_03_flavortext","",""
"wp_unique_ring_t2_04_name","Archimedes\' Cogwheel",""
"wp_unique_ring_t2_04_flavortext","",""
"wp_unique_ring_t2_05_name","Persephone’s Ring",""
"wp_unique_ring_t2_05_flavortext","",""
"wp_unique_ring_t2_06_name","Mark of Ares",""
"wp_unique_ring_t2_06_flavortext","",""
"wp_unique_ring_t3_01_name","Ring of Gaia",""
"wp_unique_ring_t3_01_flavortext","",""
"wp_unique_ring_t3_02_name","Apollo’s Will",""
"wp_unique_ring_t3_02_flavortext","",""
"wp_unique_ring_t3_03_name","Band of Souls",""
"wp_unique_ring_t3_03_flavortext","",""
"wp_unique_ring_t3_04_name","Mark of the Overlord",""
"wp_unique_ring_t3_04_flavortext","",""
"wp_unique_ring_t3_05_name","Seal of Hephaestus",""
"wp_unique_ring_t3_05_flavortext","",""
"wp_unique_ring_t3_06_name","Monad Pearl",""
"wp_unique_ring_t3_06_flavortext","",""
"wp_unique_amulet_t1_01_name","Wellspring",""
"wp_unique_amulet_t1_01_flavortext","Wearing this amulet makes you feel refreshed and energized.",""
"wp_unique_amulet_t1_02_name","Venom Heart",""
"wp_unique_amulet_t1_02_flavortext","A cursed amulet that once held the image of a dear spouse.",""
"wp_unique_amulet_t1_03_name","Shard of the Elements",""
"wp_unique_amulet_t1_03_flavortext","",""
"wp_unique_amulet_t1_04_name","Moonclaw",""
"wp_unique_amulet_t1_04_flavortext","A charm fashioned from an owl\'s talon.",""
"wp_unique_amulet_t1_05_name","Whirl of Thalassa",""
"wp_unique_amulet_t1_05_flavortext","",""
"wp_unique_amulet_t1_q1_name","Mother Crab\'s Claw",""
"wp_unique_amulet_t1_q1_flavortext","Crabs seem to sense that the bearer of this trophy is a threat.",""
"wp_unique_amulet_t2_01_name","Amaranthine",""
"wp_unique_amulet_t2_01_flavortext","",""
"wp_unique_amulet_t2_02_name","Amulet of Hygeia",""
"wp_unique_amulet_t2_02_flavortext","",""
"wp_unique_amulet_t2_03_name","Frostmoon",""
"wp_unique_amulet_t2_03_flavortext","",""
"wp_unique_amulet_t2_04_name","Shifting Beads",""
"wp_unique_amulet_t2_04_flavortext","",""
"wp_unique_amulet_t2_05_name","Ixion Stone",""
"wp_unique_amulet_t2_05_flavortext","",""
"wp_unique_amulet_t2_06_name","Serenity",""
"wp_unique_amulet_t2_06_flavortext","",""
"wp_unique_amulet_t3_01_name","Pendant of Immortal Rage",""
"wp_unique_amulet_t3_01_flavortext","",""
"wp_unique_amulet_t3_02_name","Aphrodite’s Favor",""
"wp_unique_amulet_t3_02_flavortext","",""
"wp_unique_amulet_t3_03_name","Myrmidon’s Pendant",""
"wp_unique_amulet_t3_03_flavortext","",""
"wp_unique_amulet_t3_04_name","Black Pearl Pendant",""
"wp_unique_amulet_t3_04_flavortext","",""
"wp_unique_amulet_t3_05_name","Eye of the Kraken",""
"wp_unique_amulet_t3_05_flavortext","",""
"wp_unique_amulet_t3_06_name","Seal of the Abyss","tartaros"
"wp_unique_amulet_t3_06_flavortext","",""
"vd_embers_reward_attribute_small_name","Attribute Phial",""
"vd_embers_reward_attribute_flavortext","A concoction that slowly shifts between three colors.",""
"vd_embers_reward_active_small_name","Active Phial",""
"vd_embers_reward_active_small_flavortext","A storm of radiant energy rages inside.",""
"vd_embers_reward_passive_small_name","Passive Phial",""
"vd_embers_reward_passive_small_flavortext","Looks dark and gooey, but smells enticing...",""
"vd_embers_reward_unique_name","Mysterious Epic Chest",""
"vd_embers_reward_unique_flavortext","A mysterious glow emanates from powerful gear hidden within.",""
"vd_embers_reward_relic_normal_name","Relic Piece",""
"vd_embers_reward_relic_normal_flavortext","A piece of a relic. Which will it be?",""
"vd_embers_reward_relic_rare_name","Rare Relic Piece",""
"vd_embers_reward_relic_rare_flavortext","A piece of a rare relic. Which will it be?",""
"vd_embers_reward_charm_normal_name","Charm Piece",""
"vd_embers_reward_charm_normal_flavortext","A piece of a charm. Which will it be?",""
"vd_embers_reward_charm_rare_name","Rare Charm Piece",""
"vd_embers_reward_charm_rare_flavortext","A piece of a rare charm. Which will it be?",""
